"date","petrol_delhi","diesel_delhi"
2004-04-01,33.71,21.74
2004-05-01,33.71,21.74
2004-06-01,35.71,22.74
2004-07-01,35.71,22.74
2004-08-01,36.81,24.16
2004-09-01,36.81,24.16
2004-10-01,36.81,24.16
2004-11-01,39,26.28
2004-12-01,39,26.28
2005-01-01,39,26.28
2005-02-01,39,26.28
2005-03-01,39,26.28
2005-04-01,37.99,28.22
2005-05-01,37.99,28.22
2005-06-01,40.49,28.45
2005-07-01,40.49,28.45
2005-08-01,40.49,28.45
2005-09-01,43.49,30.45
2005-10-01,43.49,30.45
2005-11-01,43.49,30.45
2005-12-01,43.49,30.45
2006-01-01,43.49,30.45
2006-02-01,43.49,30.45
2006-03-01,43.49,30.45
2006-04-01,43.51,30.47
2006-05-01,43.51,30.47
2006-06-01,46.85,32.25
2006-07-01,46.85,32.25
2006-08-01,46.85,32.25
2006-09-01,46.85,32.25
2006-10-01,46.85,32.25
2006-11-01,44.85,31.25
2006-12-01,44.85,31.25
2007-01-01,44.85,31.25
2007-02-01,42.85,30.25
2007-03-01,42.85,30.25
2007-04-01,42.85,30.25
2007-05-01,42.85,30.25
2007-06-01,43.52,30.48
2007-07-01,43.52,30.48
2007-08-01,43.52,30.48
2007-09-01,43.52,30.48
2007-10-01,43.52,30.48
2007-11-01,43.52,30.48
2007-12-01,43.52,30.48
2008-01-01,43.52,30.48
2008-02-01,45.52,31.76
2008-03-01,45.52,31.76
2008-04-01,45.52,31.76
2008-05-01,45.56,31.8
2008-06-01,50.56,34.8
2008-07-01,50.62,34.86
2008-08-01,50.62,34.86
2008-09-01,50.62,34.86
2008-10-01,50.62,34.86
2008-11-01,50.62,34.86
2008-12-01,45.62,32.86
2009-01-01,40.62,30.86
2009-02-01,40.62,30.86
2009-03-01,40.62,30.86
2009-04-01,40.62,30.86
2009-05-01,40.62,30.86
2009-06-01,40.62,30.86
2009-07-01,44.63,32.87
2009-08-01,44.63,32.87
2009-09-01,44.63,32.87
2009-10-01,44.72,32.92
2009-11-01,44.72,32.92
2009-12-01,44.72,32.92
2010-01-01,44.72,32.92
2010-02-01,47.43,35.47
2010-03-01,47.43,35.47
2010-04-01,47.93,38.1
2010-05-01,47.93,38.1
2010-06-01,51.43,40.1
2010-07-01,51.45,40.12
2010-08-01,51.45,40.12
2010-09-01,51.56,37.71
2010-10-01,51.56,37.71
2010-11-01,52.59,37.75
2010-12-01,52.59,37.75
2011-01-01,52.59,37.75
2011-02-01,52.59,37.75
2011-03-01,52.59,37.75
2011-04-01,58.37,37.75
2011-05-01,58.37,37.75
2011-06-01,58.37,37.75
2011-07-01,63.7,41.29
2011-08-01,63.7,41.29
2011-09-01,63.7,41.29
2011-10-01,63.7,41.29
2011-11-01,63.7,41.29
2011-12-01,63.7,41.29
2012-01-01,63.7,41.29
2012-02-01,63.7,41.29
2012-03-01,63.7,41.29
2012-04-01,65.64,40.91
2012-05-01,65.64,40.91
2012-06-01,70.24,41.29
2012-07-01,70.24,41.29
2012-08-01,68.46,41.32
2012-09-01,68.46,41.32
2012-10-01,68.19,47.15
2012-11-01,68.19,47.15
2012-12-01,68.19,47.15
2013-01-01,67.26,47.65
2013-02-01,69.06,48.16
2013-03-01,69.06,48.16
2013-04-01,66.09,48.67
2013-05-01,66.09,48.67
2013-06-01,63.99,50.25
2013-07-01,63.99,50.25
2013-08-01,71.28,51.4
2013-09-01,74.1,51.97
2013-10-01,72.4,52.54
2013-11-01,71.02,53.1
2013-12-01,71.52,53.78
2014-01-01,72.43,54.34
2014-02-01,72.43,54.34
2014-03-01,73.16,55.48
2014-04-01,72.26,55.49
2014-05-01,72.26,55.49
2014-06-01,72.26,55.49
2014-07-01,73.6,57.84
2014-08-01,68.51,58.97
2014-09-01,68.51,58.97
2014-10-01,68.51,58.97
2014-11-01,64.24,53.35
2014-12-01,61.33,50.51
2015-01-01,58.91,48.26
2015-02-01,57.31,46.62
2015-03-01,60.49,49.71
2015-04-01,59.2,47.2
2015-05-01,66.29,52.28
2015-06-01,66.93,50.93
2015-07-01,66.9,49.72
2015-08-01,63.2,44.95
2015-09-01,61.2,44.45
2015-10-01,61.2,44.45
2015-11-01,61.06,46.8
2015-12-01,59.98,46.09
2016-01-01,59.99,44.71
2016-02-01,59.63,44.96
2016-03-01,59.68,48.33
2016-04-01,61.13,48.01
2016-05-01,63.02,51.67
2016-06-01,65.65,55.19
2016-07-01,62.51,54.28
2016-08-01,60.09,50.27
2016-09-01,64.21,52.59
2016-10-01,66.45,55.38
2016-11-01,65.93,54.71
2016-12-01,68.94,56.68
2017-01-01,71.14,59.02
2017-02-01,71.14,59.02
2017-03-01,71.14,59.02
2017-04-01,68.07,56.83
2017-05-01,65.32,54.9
2017-06-01,64.2,75.44
2017-07-01,64.02,73.96
2017-08-01,67.77,76.91
2017-09-01,70.21,79.32
2017-10-01,68.74,76.51
2017-11-01,69.53,76.66
