"Variable","N","Mean","SD","Min","Q25","Median","Q75","Max"
"CPI (Index)",249,93.9661,35.7136,41.7899,58.5273,96.7804,124.3226,159.2043
"Brent Crude (USD/bbl)",249,75.0849,24.2555,26.8486,56.5245,73.0576,92.6733,133.5852
"INR/USD Exchange Rate",249,60.2057,13.8883,39.2676,45.8886,62.1057,71.4942,84.9686
"Oil Price INR",249,4490.5868,1692.9526,1464.1307,3152.9553,4153.8236,5963.9724,9190.6251
"IIP (Chained Index)",249,109.9747,24.455,54,93.6704,110.7049,128.8,160
"dln(CPI) x100",248,0.5371,0.7542,-1.6598,0,0.5397,0.9093,4.4736
"dln(Oil INR) x100",248,0.5834,8.8923,-45.3674,-4.0787,1.5185,6.2342,23.1977
"dln(Brent) x100",248,0.3171,9.1453,-49.501,-4.6274,1.4008,6.571,23.1314
"dln(EXR) x100",248,0.2664,1.6694,-4.1399,-0.6305,0.0987,1.0399,6.5571
"dln(IIP) x100",248,0.3725,8.2836,-77.4898,-2.4978,0.132,3.8804,51.3045
