"Variable","Form","ADF_stat","ADF_cv1","ADF_cv5","ADF_cv10","PP_stat","KPSS_stat","KPSS_cv10","KPSS_cv5","ADF_result","KPSS_result"
"ln(CPI)","Level",-0.6805,-3.99,-3.43,-3.13,-0.5059,0.9406,0.119,0.146,"I(1)","I(1)"
"ln(Oil INR)","Level",-3.3809,-3.99,-3.43,-3.13,-3.1232,0.291,0.119,0.146,"I(1)","I(1)"
"ln(Brent USD)","Level",-3.3695,-3.99,-3.43,-3.13,-3.1044,0.3079,0.119,0.146,"I(1)","I(1)"
"ln(EXR)","Level",-3.2779,-3.99,-3.43,-3.13,-2.8155,0.2462,0.119,0.146,"I(1)","I(1)"
"ln(IIP)","Level",-5.0046,-3.99,-3.43,-3.13,-6.8668,0.5064,0.119,0.146,"I(0)","I(1)"
"dln(CPI)","First Diff",-10.4158,-3.46,-2.88,-2.57,-12.364,0.443,0.347,0.463,"I(0)","I(0)"
"dln(Oil INR)","First Diff",-10.0781,-3.46,-2.88,-2.57,-11.0097,0.0848,0.347,0.463,"I(0)","I(0)"
"dln(Brent)","First Diff",-9.7461,-3.46,-2.88,-2.57,-10.6924,0.0942,0.347,0.463,"I(0)","I(0)"
"dln(EXR)","First Diff",-10.1077,-3.46,-2.88,-2.57,-11.5361,0.0668,0.347,0.463,"I(0)","I(0)"
"dln(IIP)","First Diff",-15.4129,-3.46,-2.88,-2.57,-27.8159,0.0372,0.347,0.463,"I(0)","I(0)"
