"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",-0.213371,0.154491,-1.3811,0.1686,""
"dlnCPI_L1",0.172795,0.052363,3.2999,0.0011,"***"
"dlnOil",0.003819,0.004018,0.9507,0.3428,""
"dlnOil_L1",-0.000976,0.004609,-0.2119,0.8324,""
"dlnIIP",-0.003893,0.004591,-0.848,0.3973,""
"D_petrol",0.076696,0.102146,0.7508,0.4535,""
"D_diesel",-0.255365,0.075618,-3.3771,9e-04,"***"
"D_covid",0.141136,0.42467,0.3323,0.7399,""
"mo_Jan",0.717556,0.176342,4.0691,1e-04,"***"
"mo_Feb",0.144905,0.248463,0.5832,0.5603,""
"mo_Mar",0.587172,0.202241,2.9033,0.0041,"***"
"mo_Apr",1.008051,0.192682,5.2317,0,"***"
"mo_May",0.788836,0.179678,4.3903,0,"***"
"mo_Jun",1.061199,0.171716,6.1799,0,"***"
"mo_Jul",1.832242,0.244946,7.4802,0,"***"
"mo_Aug",0.362527,0.192238,1.8858,0.0606,"*"
"mo_Sep",0.583614,0.18442,3.1646,0.0018,"***"
"mo_Oct",1.123446,0.163131,6.8868,0,"***"
"mo_Nov",0.509329,0.159041,3.2025,0.0016,"***"
