"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",-0.161434,0.199799,-0.808,0.42,""
"dlnCPI_L1",0.153171,0.059573,2.5711,0.0108,"**"
"dlnCPI_L2",-0.08043,0.074029,-1.0865,0.2785,""
"dlnCPI_L3",-0.094856,0.070817,-1.3395,0.1818,""
"dlnBrent_pos_L0",-0.005911,0.00716,-0.8257,0.4099,""
"dlnBrent_pos_L1",0.007301,0.011886,0.6142,0.5397,""
"dlnBrent_pos_L2",0.018712,0.0098,1.9094,0.0575,"*"
"dlnBrent_pos_L3",0.007357,0.006976,1.0545,0.2928,""
"dlnBrent_neg_L0",0.010069,0.006762,1.4889,0.138,""
"dlnBrent_neg_L1",-0.009197,0.008251,-1.1147,0.2662,""
"dlnBrent_neg_L2",-0.006316,0.007759,-0.814,0.4165,""
"dlnBrent_neg_L3",0.003328,0.006189,0.5378,0.5912,""
"dlnEXR",0.039619,0.017986,2.2028,0.0287,"**"
"dlnEXR_L1",-0.033484,0.019559,-1.7119,0.0883,"*"
"dlnIIP",-0.005398,0.005713,-0.9449,0.3458,""
"D_petrol",0.142881,0.106946,1.336,0.183,""
"D_diesel",-0.355343,0.09201,-3.862,1e-04,"***"
"D_covid",-0.209056,0.537207,-0.3892,0.6975,""
"mo_Jan",0.699955,0.190299,3.6782,3e-04,"***"
"mo_Feb",0.002817,0.266693,0.0106,0.9916,""
"mo_Mar",0.488707,0.209371,2.3342,0.0205,"**"
"mo_Apr",0.880332,0.209199,4.2081,0,"***"
"mo_May",0.600139,0.184305,3.2562,0.0013,"***"
"mo_Jun",0.987334,0.171725,5.7495,0,"***"
"mo_Jul",1.853595,0.246183,7.5293,0,"***"
"mo_Aug",0.361333,0.200656,1.8008,0.0731,"*"
"mo_Sep",0.665638,0.182345,3.6504,3e-04,"***"
"mo_Oct",1.207059,0.192514,6.27,0,"***"
"mo_Nov",0.45671,0.173343,2.6347,0.009,"***"
