"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",-0.266096,0.230489,-1.1545,0.2496,""
"dlnCPI_L1",0.172492,0.062174,2.7743,0.006,"***"
"dlnCPI_L2",-0.077936,0.078087,-0.9981,0.3194,""
"dlnCPI_L3",-0.083223,0.06957,-1.1962,0.2329,""
"dlnBrent_pos_L0",0.000662,0.012358,0.0536,0.9573,""
"dlnBrent_pos_L1",0.032642,0.018472,1.7671,0.0787,"*"
"dlnBrent_pos_L2",0.014882,0.017931,0.83,0.4075,""
"dlnBrent_neg_L0",0.004978,0.012373,0.4023,0.6879,""
"dlnBrent_neg_L1",-0.02155,0.015554,-1.3855,0.1674,""
"dlnBrent_neg_L2",0.008822,0.010107,0.8729,0.3837,""
"dlnBrent_pos_L0_post",-0.012385,0.016276,-0.7609,0.4475,""
"dlnBrent_pos_L1_post",-0.049371,0.019541,-2.5265,0.0123,"**"
"dlnBrent_pos_L2_post",0.005733,0.01817,0.3155,0.7527,""
"dlnBrent_neg_L0_post",0.009447,0.014245,0.6632,0.5079,""
"dlnBrent_neg_L1_post",0.025983,0.017199,1.5107,0.1323,""
"dlnBrent_neg_L2_post",-0.021295,0.012742,-1.6713,0.0961,"*"
"dlnEXR",0.063098,0.022186,2.8441,0.0049,"***"
"dlnEXR_L1",-0.039299,0.018467,-2.128,0.0345,"**"
"dlnEXR_post",-0.072106,0.039641,-1.819,0.0703,"*"
"dlnIIP",-0.006222,0.007046,-0.8832,0.3782,""
"D_petrol",0.109811,0.134919,0.8139,0.4166,""
"D_covid",0.382687,0.666877,0.5738,0.5667,""
"mo_Jan",0.731335,0.197838,3.6966,3e-04,"***"
"mo_Feb",-0.02517,0.276122,-0.0912,0.9275,""
"mo_Mar",0.490773,0.201186,2.4394,0.0155,"**"
"mo_Apr",0.833756,0.222251,3.7514,2e-04,"***"
"mo_May",0.565173,0.184839,3.0576,0.0025,"***"
"mo_Jun",0.974211,0.1714,5.6839,0,"***"
"mo_Jul",1.825794,0.245404,7.44,0,"***"
"mo_Aug",0.295882,0.207685,1.4247,0.1557,""
"mo_Sep",0.608856,0.19149,3.1796,0.0017,"***"
"mo_Oct",1.181535,0.19732,5.9879,0,"***"
"mo_Nov",0.377196,0.181841,2.0743,0.0393,"**"
