"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",0.117267,0.192652,0.6087,0.5434,""
"dlnCPI_L1",0.184499,0.061345,3.0076,0.003,"***"
"dlnCPI_L2",-0.121716,0.069015,-1.7636,0.0793,"*"
"dlnCPI_L3",-0.123262,0.073557,-1.6757,0.0953,"*"
"nopi_pos_L0",0.009897,0.010336,0.9574,0.3395,""
"nopi_pos_L1",-0.018854,0.010297,-1.831,0.0685,"*"
"nopi_pos_L2",0.015143,0.013507,1.1211,0.2636,""
"nopi_pos_L3",-0.006627,0.012236,-0.5416,0.5887,""
"nopi_neg_L0",0.015426,0.006234,2.4746,0.0141,"**"
"nopi_neg_L1",-0.003934,0.00901,-0.4367,0.6628,""
"nopi_neg_L2",0.002758,0.008162,0.338,0.7357,""
"nopi_neg_L3",0.001728,0.006597,0.2619,0.7937,""
"dlnIIP",-0.008802,0.005371,-1.6388,0.1028,""
"D_petrol",0.002283,0.125615,0.0182,0.9855,""
"D_diesel",-0.303202,0.085859,-3.5314,5e-04,"***"
"D_covid",-0.137875,0.506488,-0.2722,0.7857,""
"M1",0.641208,0.190645,3.3634,9e-04,"***"
"M2",-0.080245,0.272461,-0.2945,0.7687,""
"M3",0.476603,0.199953,2.3836,0.018,"**"
"M4",0.761433,0.220882,3.4472,7e-04,"***"
"M5",0.64732,0.172689,3.7485,2e-04,"***"
"M6",0.998512,0.169277,5.8987,0,"***"
"M7",1.801782,0.246611,7.3062,0,"***"
"M8",0.242082,0.194223,1.2464,0.214,""
"M9",0.687718,0.191683,3.5878,4e-04,"***"
"M10",1.150085,0.196017,5.8673,0,"***"
"M11",0.388483,0.183094,2.1218,0.035,"**"
