"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",0.19379,0.090586,2.1393,0.034,"**"
"dlnFuel_L1",0.265945,0.067947,3.914,1e-04,"***"
"dlnPetrol_pos_L0",0.069989,0.030808,2.2718,0.0245,"**"
"dlnPetrol_pos_L1",-0.0136,0.015623,-0.8705,0.3854,""
"dlnPetrol_pos_L2",0.025747,0.019236,1.3385,0.1827,""
"dlnPetrol_pos_L3",0.097093,0.028973,3.3512,0.001,"***"
"dlnPetrol_neg_L0",0.031186,0.031425,0.9924,0.3226,""
"dlnPetrol_neg_L1",0.075069,0.044444,1.689,0.0932,"*"
"dlnPetrol_neg_L2",0.048852,0.041668,1.1724,0.2428,""
"dlnPetrol_neg_L3",-0.051923,0.020783,-2.4984,0.0135,"**"
