"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",0.404315,0.233091,1.7346,0.085,"*"
"dlnFuel_L1",0.271432,0.080003,3.3928,9e-04,"***"
"dlnFuel_L2",-0.023272,0.08381,-0.2777,0.7817,""
"dlnFuel_L3",0.054129,0.048495,1.1162,0.2663,""
"dlnOil_pos_L0",0.024947,0.015752,1.5837,0.1156,""
"dlnOil_pos_L1",0.018536,0.019258,0.9625,0.3375,""
"dlnOil_pos_L2",0.002565,0.012325,0.2081,0.8354,""
"dlnOil_pos_L3",0.0148,0.016598,0.8917,0.3741,""
"dlnOil_neg_L0",-0.022453,0.009491,-2.3657,0.0194,"**"
"dlnOil_neg_L1",0.026157,0.021951,1.1916,0.2355,""
"dlnOil_neg_L2",0.002324,0.014206,0.1636,0.8703,""
"dlnOil_neg_L3",0.004781,0.010917,0.4379,0.6621,""
"dlnIIP",-0.00833,0.017331,-0.4807,0.6315,""
"D_diesel",-0.231605,0.113496,-2.0406,0.0432,"**"
"D_covid",-3.460544,1.591923,-2.1738,0.0314,"**"
"M1",-0.20613,0.249239,-0.827,0.4096,""
"M2",0.041443,0.369009,0.1123,0.9107,""
"M3",-0.34934,0.336546,-1.038,0.3011,""
"M4",-0.189192,0.527808,-0.3584,0.7206,""
"M5",0.035921,0.277388,0.1295,0.8972,""
"M6",-0.205096,0.289922,-0.7074,0.4805,""
"M7",0.307093,0.363429,0.845,0.3996,""
"M8",-0.384587,0.281645,-1.3655,0.1743,""
"M9",-0.242373,0.415723,-0.583,0.5608,""
"M10",0.135299,0.277156,0.4882,0.6262,""
"M11",0.140813,0.287655,0.4895,0.6253,""
