"p","q","N","AIC","Adj_R2","CPT_pos","CPT_neg","Asym_p"
1,0,244,434.69,0.4444,-0.003588,0.008271,0.2166
1,1,244,437.21,0.4428,9.1e-05,0.002038,0.9074
1,2,244,437.74,0.4457,0.012677,-0.002386,0.4415
1,3,244,440.58,0.4433,0.019248,-0.000144,0.2806
2,0,244,433.41,0.4494,-0.002505,0.007937,0.2881
2,1,244,436.4,0.4467,0.000403,0.002809,0.8849
2,2,244,437.18,0.449,0.012553,-0.00124,0.4784
2,3,244,440.13,0.4463,0.019064,0.000554,0.3079
3,0,244,431.93,0.4547,-0.00261,0.006756,0.3488
3,1,244,434.83,0.4523,0.001363,0.001441,0.9962
3,2,244,435.92,0.4538,0.012974,-0.001721,0.4443
3,3,244,438.79,0.4513,0.019258,0.00058,0.293
4,0,244,433.66,0.4529,-0.00276,0.007169,0.3358
4,1,244,436.56,0.4504,0.001328,0.001854,0.9747
4,2,244,437.75,0.4517,0.012764,-0.00134,0.4667
4,3,244,440.67,0.4491,0.019087,0.00074,0.3027
