"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",-0.080701,0.34341,-0.235,0.8144,""
"dlnPetrol_L1",0.070653,0.051089,1.383,0.168,""
"dlnBrent_pos_L0",0.080573,0.049227,1.6368,0.103,""
"dlnBrent_pos_L1",0.185287,0.052086,3.5573,5e-04,"***"
"dlnBrent_pos_L2",-0.06948,0.048129,-1.4436,0.1502,""
"dlnBrent_pos_L3",0.081134,0.051826,1.5655,0.1188,""
"dlnBrent_neg_L0",0.055746,0.034633,1.6096,0.1088,""
"dlnBrent_neg_L1",0.054477,0.044824,1.2154,0.2254,""
"dlnBrent_neg_L2",0.036118,0.038744,0.9322,0.3522,""
"dlnBrent_neg_L3",0.017145,0.027823,0.6162,0.5384,""
