"Spec","q","Sample_start","Sample_end","Span_years","Duration_20Y","N","AIC","Adj_R2","CPT_pos","CPT_neg","CPTpos_p","Asym_p","RESET_HAC_p","RecCUSUM_p","OLS_CUSUM_p","BG12_p","Diagnostics_OK","Publication_use"
"INR_oil_q0",0,"2004-08-01","2024-12-01",20.42,"YES",245,433.94,0.4525,-0.001702,0.006855,0.7938,0.3912,0.4668,0.0337,0.3275,0.081,"NO","Diagnostic-risk"
"INR_oil_q1",1,"2004-08-01","2024-12-01",20.42,"YES",245,436.8,0.4501,0.002779,0.001473,0.8131,0.9363,0.3159,0.0856,0.37,0.1553,"YES","Diagnostic-safe but weak/no oil effect"
"INR_oil_q2",2,"2004-08-01","2024-12-01",20.42,"YES",245,438.27,0.4508,0.01373,-0.001534,0.3451,0.4286,0.16,0.0422,0.3908,0.1391,"NO","Diagnostic-risk"
"INR_oil_q3",3,"2004-08-01","2024-12-01",20.42,"YES",245,440.77,0.4492,0.021296,0.000598,0.122,0.2408,0.1827,0.091,0.3876,0.0728,"YES","Recommended headline: diagnostic-safe and theory-consistent, but weak asymmetry"
"Brent_EXR_q0",0,"2004-08-01","2024-12-01",20.42,"YES",245,434.67,0.4549,-0.002481,0.006147,0.7036,0.3731,0.3054,0.0558,0.3356,0.1494,"YES","Diagnostic-safe but weak/no oil effect"
"Brent_EXR_q1",1,"2004-08-01","2024-12-01",20.42,"YES",245,436.84,0.454,0.004153,-4.6e-05,0.7398,0.8028,0.103,0.0213,0.3896,0.2805,"NO","Diagnostic-risk"
"Brent_EXR_q2",2,"2004-08-01","2024-12-01",20.42,"YES",245,436.32,0.4591,0.018804,-0.003286,0.2589,0.3098,0.0112,0.026,0.411,0.209,"NO","Diagnostic-risk"
"Brent_EXR_q3",3,"2004-08-01","2024-12-01",20.42,"YES",245,438.79,0.4575,0.027458,-0.002116,0.0933,0.1443,0.0128,0.0337,0.4061,0.1563,"NO","Robustness only: larger positive CPT but diagnostic-risk"
"INR_oil_plus_EXR_q0",0,"2004-08-01","2024-12-01",20.42,"YES",245,434.56,0.4551,-0.002998,0.006825,0.6475,0.3319,0.2747,0.0571,0.3369,0.1605,"YES","Diagnostic-safe but weak/no oil effect"
"INR_oil_plus_EXR_q1",1,"2004-08-01","2024-12-01",20.42,"YES",245,437.13,0.4534,0.002684,0.00074,0.8237,0.9092,0.1209,0.0394,0.3813,0.2782,"NO","Diagnostic-risk"
"INR_oil_plus_EXR_q2",2,"2004-08-01","2024-12-01",20.42,"YES",245,437.89,0.4556,0.014866,-0.002364,0.3212,0.4023,0.0251,0.0615,0.408,0.2736,"NO","Diagnostic-risk"
"INR_oil_plus_EXR_q3",3,"2004-08-01","2024-12-01",20.42,"YES",245,440.65,0.4533,0.021559,-0.000269,0.1275,0.2466,0.0331,0.0829,0.4065,0.2401,"NO","Diagnostic-risk"
