"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",0.187176,0.085576,2.1872,0.0303,"**"
"dlnFuel_L1",0.27405,0.070016,3.9141,1e-04,"***"
"dlnFuel_L2",-0.040295,0.084803,-0.4752,0.6354,""
"dlnFuel_L3",0.056026,0.05308,1.0555,0.2929,""
"dlnPetrol_pos_L0",0.070513,0.031588,2.2323,0.0271,"**"
"dlnPetrol_pos_L1",-0.013427,0.015357,-0.8743,0.3833,""
"dlnPetrol_pos_L2",0.027883,0.021361,1.3053,0.1938,""
"dlnPetrol_pos_L3",0.092742,0.028394,3.2663,0.0013,"***"
"dlnPetrol_neg_L0",0.029302,0.032159,0.9112,0.3637,""
"dlnPetrol_neg_L1",0.076389,0.043569,1.7533,0.0816,"*"
"dlnPetrol_neg_L2",0.050735,0.042692,1.1884,0.2365,""
"dlnPetrol_neg_L3",-0.050586,0.019756,-2.5606,0.0114,"**"
