"Variable","N","Mean","SD","Min","Max","Skew","Kurtosis"
"CPI Index",249,93.9661,35.7136,41.7899,159.2043,0.1393,-1.2039
"Brent USD/bbl",249,75.0849,24.2555,26.8486,133.5852,0.3273,-0.8186
"INR/USD",249,60.2057,13.8883,39.2676,84.9686,0.1433,-1.3172
"IIP Index",249,109.9747,24.455,54,160,-0.2674,-0.6181
"Oil INR",249,4490.5868,1692.9526,1464.1307,9190.6251,0.3718,-0.8144
"dlnCPI (%)",248,0.5371,0.7542,-1.6598,4.4736,0.6463,3.4069
"dlnOil_INR (%)",248,0.5834,8.8923,-45.3674,23.1977,-1.1164,3.4056
"dlnBrent (%)",248,0.3171,9.1453,-49.501,23.1314,-1.2497,4.1067
"dlnEXR (%)",248,0.2664,1.6694,-4.1399,6.5571,0.6773,1.9536
"dlnIIP (%)",248,0.3725,8.2836,-77.4898,51.3045,-2.5029,36.1709
"dOil+ INR (%)",248,3.6008,4.5846,0,23.1977,1.4213,1.8067
"dOil- INR (%)",248,-3.0173,6.0197,-45.3674,0,-3.2087,13.636
"dBrent+ (%)",248,3.5363,4.5235,0,23.1314,1.4382,1.9477
"dBrent- (%)",248,-3.2193,6.3493,-49.501,0,-3.3055,14.9934
