"Specification","Coefficient","Estimate","SE","t_value","p_value","Sig"
"NARDL-A (Oil INR)","ln_cpi_2",1.042148,0.040493,25.7367,0,"***"
"NARDL-A (Oil INR)","ln_oil_p",-0.019437,0.013601,-1.4291,0.153,""
"NARDL-A (Oil INR)","ln_oil_n",-0.101465,0.059672,-1.7004,0.0891,"*"
"NARDL-A (Oil INR)","ln_oil_n_1",0.086129,0.056084,1.5357,0.1246,""
"NARDL-A (Oil INR)","ln_iip",0.080317,0.046254,1.7364,0.0825,"*"
"NARDL-A (Oil INR)","ln_iip_1",-0.076532,0.043754,-1.7491,0.0803,"*"
"NARDL-B (Brent | EXR + IIP)","ln_cpi_2",1.089794,0.095356,11.4287,0,"***"
"NARDL-B (Brent | EXR + IIP)","ln_brent_p",0.088922,0.120179,0.7399,0.4594,""
"NARDL-B (Brent | EXR + IIP)","ln_brent_p_1",-0.123067,0.163406,-0.7531,0.4514,""
"NARDL-B (Brent | EXR + IIP)","ln_brent_p_2",-0.207393,0.185091,-1.1205,0.2625,""
"NARDL-B (Brent | EXR + IIP)","ln_brent_p_3",-0.022406,0.13901,-0.1612,0.8719,""
"NARDL-B (Brent | EXR + IIP)","ln_brent_p_4",0.241682,0.16865,1.433,0.1518,""
"NARDL-B (Brent | EXR + IIP)","ln_brent_n",-0.159716,0.11526,-1.3857,0.1658,""
"NARDL-B (Brent | EXR + IIP)","ln_brent_n_1",0.138125,0.106511,1.2968,0.1947,""
"NARDL-B (Brent | EXR + IIP)","ln_exr",-0.03229,0.08887,-0.3633,0.7164,""
"NARDL-B (Brent | EXR + IIP)","ln_iip",0.124097,0.087435,1.4193,0.1558,""
"NARDL-B (Brent | EXR + IIP)","ln_iip_1",-0.062435,0.065148,-0.9584,0.3379,""
"NARDL-B (Brent | EXR + IIP)","ln_iip_2",0.082504,0.073338,1.125,0.2606,""
"NARDL-B (Brent | EXR + IIP)","ln_iip_3",0.014807,0.060852,0.2433,0.8078,""
"NARDL-B (Brent | EXR + IIP)","ln_iip_4",-0.257885,0.154184,-1.6726,0.0944,"*"
