"p","q","AIC","BIC","CPT_pos","CPT_neg","Asym_p","Primary","AIC_Rank"
1,0,434.25,511.19,-0.00468,0.007028,0.2258,"No",6
1,1,435.9,519.83,0.00161,-0.000196,0.9147,"No",11
1,2,434.1,525.03,0.01804,-0.004652,0.2923,"No",5
1,3,437.01,534.93,0.025292,-0.003265,0.1517,"No",15
2,0,433.05,513.48,-0.003639,0.006927,0.2817,"No",2
2,1,435.36,522.79,0.001709,0.000807,0.958,"No",9
2,2,433.84,528.26,0.01777,-0.003387,0.3315,"No",4
2,3,436.74,538.16,0.025311,-0.002483,0.1747,"No",14
3,0,432.49,516.42,-0.003321,0.005872,0.3457,"No",1
3,1,434.68,525.6,0.002925,-0.000358,0.846,"No",8
3,2,433.66,531.58,0.018239,-0.003731,0.311,"No",3
3,3,436.54,541.45,0.025618,-0.002491,0.1668,"Yes",13
4,0,434.27,521.7,-0.003454,0.006245,0.3281,"No",7
4,1,436.48,530.9,0.002823,4.9e-05,0.8702,"No",12
4,2,435.55,536.97,0.018048,-0.003387,0.3248,"No",10
4,3,438.44,546.85,0.02549,-0.002307,0.1713,"No",16
