"Variable","N","Mean","SD","Min","Max"
"CPI Index",249,93.9661,35.7136,41.7899,159.2043
"Brent USD",249,75.0849,24.2555,26.8486,133.5852
"INR/USD",249,60.2057,13.8883,39.2676,84.9686
"IIP Index",249,109.9747,24.455,54,160
"Oil INR",249,4490.5868,1692.9526,1464.1307,9190.6251
"ΔlnCPI (%)",248,0.5371,0.7542,-1.6598,4.4736
"ΔlnOil (%)",248,0.5834,8.8923,-45.3674,23.1977
"ΔlnEXR (%)",248,0.2664,1.6694,-4.1399,6.5571
"ΔlnIIP (%)",248,0.3725,8.2836,-77.4898,51.3045
"ΔOil+ (%)",248,3.6008,4.5846,0,23.1977
"ΔOil- (%)",248,-3.0173,6.0197,-45.3674,0
