"Variable","Estimate","NW_SE","t_value","p_value","Significance"
"(Intercept)",-0.129543,0.202356,-0.6402,0.5227,""
"dlnCPI_L1",0.172884,0.056926,3.037,0.0027,"***"
"dlnCPI_L2",-0.077489,0.068728,-1.1275,0.2608,""
"dlnCPI_L3",-0.11619,0.067272,-1.7272,0.0856,"*"
"dlnOil_pos_L0",-0.00496,0.007243,-0.6848,0.4942,""
"dlnOil_pos_L1",0.00482,0.011452,0.4209,0.6742,""
"dlnOil_pos_L2",0.015303,0.008532,1.7936,0.0743,"*"
"dlnOil_pos_L3",0.004095,0.007358,0.5565,0.5784,""
"dlnOil_neg_L0",0.009834,0.006844,1.4368,0.1522,""
"dlnOil_neg_L1",-0.007825,0.008458,-0.9252,0.3559,""
"dlnOil_neg_L2",-0.006415,0.008361,-0.7673,0.4437,""
"dlnOil_neg_L3",0.004987,0.006089,0.819,0.4137,""
"dlnIIP",-0.00736,0.005257,-1.4,0.1629,""
"D_petrol",0.121133,0.113539,1.0669,0.2872,""
"D_diesel",-0.333712,0.090459,-3.6891,3e-04,"***"
"D_covid",-0.338153,0.517721,-0.6532,0.5143,""
"M1",0.702628,0.184014,3.8184,2e-04,"***"
"M2",0.026211,0.273892,0.0957,0.9238,""
"M3",0.528132,0.21083,2.505,0.013,"**"
"M4",0.863574,0.205838,4.1954,0,"***"
"M5",0.64397,0.188076,3.424,7e-04,"***"
"M6",1.01775,0.174272,5.84,0,"***"
"M7",1.848269,0.249712,7.4016,0,"***"
"M8",0.324999,0.200228,1.6231,0.106,""
"M9",0.68155,0.189436,3.5978,4e-04,"***"
"M10",1.216827,0.192986,6.3052,0,"***"
"M11",0.457858,0.175372,2.6108,0.0097,"***"
"---",NA,NA,NA,NA,""
"AR lags (p)",3,NA,NA,NA,""
"CPT+",0.019258,NA,NA,NA,""
"CPT-",0.00058,NA,NA,NA,""
"Asymmetry Gap",0.018678,NA,NA,NA,""
"Adj R²",0.4513,NA,NA,NA,""
"N",244,NA,NA,NA,""
