"Series","date","segment","raw_value","chained_2011"
"Headline WPI",1994-03-01,"1981-82 base -> 2011-12",257.6,35.5552614259436
"Headline WPI",1994-04-01,"1993-94 base -> 2011-12",107.5,36.7678117816382
"Headline WPI",2004-12-01,"1993-94 base -> 2011-12",188.8,64.5745382732399
"Headline WPI",2005-01-01,"2004-05 base -> 2011-12",101,64.7021140294683
"Headline WPI",2012-03-01,"2004-05 base -> 2011-12",161,103.139013452915
"Headline WPI",2012-04-01,"2011-12 base",104.7,104.7
"Fuel & Power WPI",2004-12-01,"1993-94 base -> 2011-12",288.5,60.9243608749456
"Fuel & Power WPI",2005-01-01,"2004-05 base -> 2011-12",105.9,62.6627218934911
"Fuel & Power WPI",2012-03-01,"2004-05 base -> 2011-12",177.8,105.207100591716
"Fuel & Power WPI",2012-04-01,"2011-12 base",106.3,106.3
