"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",0.328536,0.110869,2.9633,0.0032,"***"
"dln_dep_L1",0.389612,0.046476,8.3831,0,"***"
"dln_dep_L2",-0.059803,0.051182,-1.1684,0.2432,""
"dln_dep_L3",0.064572,0.05117,1.2619,0.2076,""
"dln_dep_L4",-0.063351,0.04597,-1.3781,0.1688,""
"dln_dep_L5",0.059214,0.0502,1.1796,0.2388,""
"dln_dep_L6",0.047146,0.042983,1.0968,0.2733,""
"dln_dep_L7",0.076241,0.044971,1.6953,0.0907,"*"
"dln_dep_L8",-0.032723,0.050648,-0.6461,0.5185,""
"dln_dep_L9",0.021396,0.042868,0.4991,0.6179,""
"dln_dep_L10",0.043935,0.038192,1.1504,0.2506,""
"dln_dep_L11",-0.024016,0.044206,-0.5433,0.5872,""
"dln_dep_L12",0.022116,0.047016,0.4704,0.6383,""
"dln_oil_pos_L0",0.005046,0.005274,0.9568,0.3392,""
"dln_oil_pos_L1",0.018779,0.006239,3.0098,0.0028,"***"
"dln_oil_pos_L2",-0.006163,0.005388,-1.1439,0.2532,""
"dln_oil_pos_L3",0.002727,0.004951,0.5508,0.5821,""
"dln_oil_pos_L4",0.000557,0.005506,0.1011,0.9195,""
"dln_oil_pos_L5",0.017125,0.005223,3.2788,0.0011,"***"
"dln_oil_pos_L6",-0.007957,0.005517,-1.4424,0.1499,""
"dln_oil_neg_L0",0.011331,0.006181,1.8332,0.0674,"*"
"dln_oil_neg_L1",0.019067,0.00463,4.1185,0,"***"
"dln_oil_neg_L2",3.5e-05,0.004579,0.0076,0.994,""
"dln_oil_neg_L3",0.007308,0.006131,1.192,0.2338,""
"dln_oil_neg_L4",-0.002002,0.0043,-0.4656,0.6417,""
"dln_oil_neg_L5",-0.009643,0.004548,-2.1201,0.0345,"**"
"dln_oil_neg_L6",0.011346,0.006553,1.7314,0.084,"*"
"month02",-0.39913,0.117712,-3.3907,8e-04,"***"
"month03",0.107745,0.1107,0.9733,0.3309,""
"month04",0.371173,0.137674,2.696,0.0073,"***"
"month05",-0.233689,0.121224,-1.9277,0.0545,"*"
"month06",0.226645,0.135464,1.6731,0.095,"*"
"month07",0.175166,0.141469,1.2382,0.2163,""
"month08",-0.194537,0.130407,-1.4918,0.1364,""
"month09",-0.337281,0.131858,-2.5579,0.0108,"**"
"month10",-0.048102,0.117362,-0.4099,0.6821,""
"month11",-0.417941,0.119018,-3.5116,5e-04,"***"
"month12",-0.610129,0.121763,-5.0108,0,"***"
