"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",0.338057,0.109526,3.0865,0.0021,"***"
"dln_dep_L1",0.381011,0.046287,8.2315,0,"***"
"dln_dep_L2",-0.064836,0.050621,-1.2808,0.2009,""
"dln_dep_L3",0.067289,0.050747,1.326,0.1855,""
"dln_dep_L4",-0.058825,0.044633,-1.318,0.1882,""
"dln_dep_L5",0.057328,0.049244,1.1642,0.2449,""
"dln_dep_L6",0.050907,0.042685,1.1926,0.2336,""
"dln_dep_L7",0.071241,0.042954,1.6585,0.0979,"*"
"dln_dep_L8",-0.048053,0.051985,-0.9244,0.3558,""
"dln_dep_L9",0.009678,0.043545,0.2223,0.8242,""
"dln_dep_L10",0.044156,0.038658,1.1422,0.2539,""
"dln_dep_L11",-0.021239,0.043922,-0.4836,0.6289,""
"dln_dep_L12",0.029272,0.047869,0.6115,0.5412,""
"dln_brent_pos_L0",0.004153,0.005277,0.787,0.4317,""
"dln_brent_pos_L1",0.016252,0.00565,2.8764,0.0042,"***"
"dln_brent_pos_L2",-0.004274,0.005083,-0.8408,0.4009,""
"dln_brent_pos_L3",0.007407,0.004647,1.5938,0.1117,""
"dln_brent_pos_L4",-0.002487,0.005835,-0.4263,0.6701,""
"dln_brent_pos_L5",0.017461,0.005717,3.0541,0.0024,"***"
"dln_brent_pos_L6",-0.00763,0.005597,-1.3631,0.1735,""
"dln_brent_neg_L0",0.011873,0.006319,1.8788,0.0609,"*"
"dln_brent_neg_L1",0.019811,0.004536,4.368,0,"***"
"dln_brent_neg_L2",0.001188,0.004549,0.2612,0.794,""
"dln_brent_neg_L3",0.003679,0.006043,0.6089,0.5429,""
"dln_brent_neg_L4",0.000486,0.004202,0.1158,0.9079,""
"dln_brent_neg_L5",-0.00826,0.004445,-1.8584,0.0637,"*"
"dln_brent_neg_L6",0.008672,0.005965,1.4539,0.1466,""
"dln_exr",0.020178,0.011554,1.7464,0.0814,"*"
"dln_exr_L1",0.046069,0.019964,2.3076,0.0215,"**"
"month02",-0.38171,0.116144,-3.2865,0.0011,"***"
"month03",0.092056,0.11401,0.8074,0.4198,""
"month04",0.382692,0.138427,2.7646,0.0059,"***"
"month05",-0.238261,0.124449,-1.9145,0.0562,"*"
"month06",0.188754,0.132679,1.4226,0.1555,""
"month07",0.132549,0.139536,0.9499,0.3426,""
"month08",-0.224495,0.123834,-1.8129,0.0705,"*"
"month09",-0.37121,0.135795,-2.7336,0.0065,"***"
"month10",-0.079721,0.122013,-0.6534,0.5138,""
"month11",-0.429458,0.119982,-3.5794,4e-04,"***"
"month12",-0.597805,0.122802,-4.868,0,"***"
