"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",0.357342,0.333696,1.0709,0.285,""
"dln_dep_L1",0.213173,0.057717,3.6934,3e-04,"***"
"dln_dep_L2",-0.131969,0.042305,-3.1194,0.002,"***"
"dln_dep_L3",-0.073492,0.053551,-1.3724,0.1709,""
"dln_dep_L4",-0.026066,0.038155,-0.6832,0.495,""
"dln_dep_L5",0.008212,0.058497,0.1404,0.8884,""
"dln_dep_L6",0.079355,0.062052,1.2788,0.2019,""
"dln_dep_L7",0.039633,0.036307,1.0916,0.2758,""
"dln_dep_L8",-0.007911,0.040402,-0.1958,0.8449,""
"dln_dep_L9",0.037728,0.061546,0.613,0.5403,""
"dln_dep_L10",0.039445,0.049635,0.7947,0.4274,""
"dln_dep_L11",-0.022193,0.037479,-0.5921,0.5542,""
"dln_dep_L12",0.072412,0.040405,1.7922,0.074,"*"
"dln_oil_pos_L0",0.013667,0.021616,0.6322,0.5277,""
"dln_oil_pos_L1",0.129397,0.025799,5.0156,0,"***"
"dln_oil_pos_L2",0.012938,0.024715,0.5235,0.601,""
"dln_oil_pos_L3",0.067164,0.021322,3.15,0.0018,"***"
"dln_oil_pos_L4",0.040372,0.022198,1.8187,0.0699,"*"
"dln_oil_pos_L5",0.024223,0.026337,0.9198,0.3584,""
"dln_oil_pos_L6",-0.001181,0.020607,-0.0573,0.9543,""
"dln_oil_neg_L0",0.068543,0.017402,3.9389,1e-04,"***"
"dln_oil_neg_L1",0.120104,0.021102,5.6916,0,"***"
"dln_oil_neg_L2",0.004094,0.024847,0.1648,0.8692,""
"dln_oil_neg_L3",0.014505,0.024312,0.5966,0.5512,""
"dln_oil_neg_L4",0.027836,0.020231,1.3759,0.1698,""
"dln_oil_neg_L5",-0.014121,0.017134,-0.8242,0.4105,""
"dln_oil_neg_L6",0.046711,0.020661,2.2609,0.0244,"**"
"dln_exr",0.108165,0.051011,2.1204,0.0347,"**"
"dln_exr_L1",0.009084,0.059115,0.1537,0.878,""
"d_reform",-0.023728,0.190168,-0.1248,0.9008,""
"d_covid",-0.750104,0.714108,-1.0504,0.2943,""
"month02",-0.353604,0.372218,-0.95,0.3428,""
"month03",0.174795,0.433826,0.4029,0.6873,""
"month04",-0.741815,0.498929,-1.4868,0.138,""
"month05",-0.627207,0.464463,-1.3504,0.1778,""
"month06",-0.131905,0.407859,-0.3234,0.7466,""
"month07",6e-06,0.468644,0,1,""
"month08",-1.087855,0.375954,-2.8936,0.0041,"***"
"month09",0.276636,0.36542,0.757,0.4496,""
"month10",0.044784,0.382554,0.1171,0.9069,""
"month11",-0.013583,0.372469,-0.0365,0.9709,""
"month12",-0.378496,0.373252,-1.0141,0.3113,""
